# ----------------------------------------
# All Web Site Data
# Location
# 20181001-20190429
# ----------------------------------------

Region,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Kentucky,"Oct 1, 2018 - Apr 29, 2019",All Users,"2,765","2,494","4,455",8.46%,11.86,00:04:33,24,"$2,804.42",0.54%
Kentucky,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,"1,560","1,342","2,641",10.41%,9.88,00:04:01,13,"$1,549.62",0.49%
Kentucky,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"1,205","1,152","1,814",5.62%,14.75,00:05:18,11,"$1,254.80",0.61%
Kentucky,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,277,263,426,11.50%,12.35,00:04:41,3,$357.36,0.70%
Georgia,"Oct 1, 2018 - Apr 29, 2019",All Users,625,524,"1,025",6.24%,10.42,00:03:56,9,"$1,303.82",0.88%
Georgia,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,465,376,789,7.35%,8.70,00:03:16,3,$440.04,0.38%
Georgia,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,160,148,236,2.54%,16.15,00:06:09,6,$863.78,2.54%
Georgia,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,54,49,85,4.71%,14.32,00:05:21,3,$323.04,3.53%
Tennessee,"Oct 1, 2018 - Apr 29, 2019",All Users,624,534,914,7.99%,11.18,00:04:29,10,"$1,152.24",1.09%
Tennessee,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,464,381,678,9.59%,8.90,00:03:36,3,$394.46,0.44%
Tennessee,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,160,153,236,3.39%,17.72,00:07:01,7,$757.78,2.97%
Tennessee,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,60,55,88,4.55%,12.70,00:05:29,1,$157.28,1.14%
Florida,"Oct 1, 2018 - Apr 29, 2019",All Users,450,414,635,4.41%,12.81,00:04:45,11,"$1,094.08",1.73%
Florida,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,224,201,335,5.67%,10.13,00:03:53,3,$221.68,0.90%
Florida,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,226,213,300,3.00%,15.81,00:05:45,8,$872.40,2.67%
Florida,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,93,84,123,4.07%,14.07,00:05:32,1,$167.88,0.81%
Virginia,"Oct 1, 2018 - Apr 29, 2019",All Users,445,425,503,18.09%,8.68,00:03:20,4,$387.44,0.80%
Virginia,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,119,104,150,7.33%,9.53,00:03:51,1,$129.72,0.67%
Virginia,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,326,321,353,22.66%,8.33,00:03:07,3,$257.72,0.85%
Virginia,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,36,34,45,13.33%,12.82,00:05:27,1,$83.08,2.22%
Texas,"Oct 1, 2018 - Apr 29, 2019",All Users,427,395,557,6.82%,10.97,00:03:45,8,"$1,864.56",1.44%
Texas,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,236,211,331,9.06%,9.27,00:03:26,4,$275.08,1.21%
Texas,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,191,184,226,3.54%,13.46,00:04:12,4,"$1,589.48",1.77%
Texas,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,65,62,76,6.58%,10.24,00:03:20,2,$229.76,2.63%
New York,"Oct 1, 2018 - Apr 29, 2019",All Users,396,366,534,9.74%,9.16,00:02:57,6,"$1,120.70",1.12%
New York,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,191,167,271,12.92%,7.46,00:02:34,4,$425.60,1.48%
New York,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,205,199,263,6.46%,10.91,00:03:21,2,$695.10,0.76%
New York,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,36,33,56,7.14%,11.16,00:03:52,0,$0.00,0.00%
Michigan,"Oct 1, 2018 - Apr 29, 2019",All Users,383,313,508,12.40%,8.61,00:03:46,1,$93.68,0.20%
Michigan,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,297,231,394,11.42%,8.18,00:03:48,1,$93.68,0.25%
Michigan,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,86,82,114,15.79%,10.10,00:03:40,0,$0.00,0.00%
Michigan,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,31,28,46,19.57%,6.61,00:03:14,0,$0.00,0.00%
North Carolina,"Oct 1, 2018 - Apr 29, 2019",All Users,374,348,536,8.02%,12.60,00:04:15,7,$901.68,1.31%
North Carolina,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,197,184,284,10.21%,9.85,00:03:25,0,$0.00,0.00%
North Carolina,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,177,164,252,5.56%,15.69,00:05:10,7,$901.68,2.78%
North Carolina,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,58,54,88,10.23%,15.40,00:05:40,0,$0.00,0.00%
Illinois,"Oct 1, 2018 - Apr 29, 2019",All Users,334,305,479,8.14%,12.59,00:04:37,5,$392.08,1.04%
Illinois,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,185,160,231,9.09%,9.63,00:03:48,1,$83.08,0.43%
Illinois,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,149,145,248,7.26%,15.35,00:05:22,4,$309.00,1.61%
Illinois,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,20,20,57,3.51%,9.44,00:03:58,0,$0.00,0.00%
Ohio,"Oct 1, 2018 - Apr 29, 2019",All Users,306,270,460,6.52%,11.63,00:04:09,8,$586.86,1.74%
Ohio,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,146,122,227,7.49%,9.16,00:02:50,0,$0.00,0.00%
Ohio,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,160,148,233,5.58%,14.04,00:05:26,8,$586.86,3.43%
Ohio,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,30,26,54,5.56%,13.93,00:04:42,3,$202.60,5.56%
Massachusetts,"Oct 1, 2018 - Apr 29, 2019",All Users,233,215,299,9.03%,12.88,00:04:06,8,"$4,780.75",2.68%
Massachusetts,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,100,91,119,11.76%,8.10,00:02:36,0,$0.00,0.00%
Massachusetts,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,133,124,180,7.22%,16.03,00:05:05,8,"$4,780.75",4.44%
Massachusetts,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,28,25,54,12.96%,11.02,00:03:54,1,$137.80,1.85%
California,"Oct 1, 2018 - Apr 29, 2019",All Users,196,183,244,4.92%,10.24,00:03:26,2,$200.08,0.82%
California,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,77,69,90,6.67%,7.74,00:02:51,1,$74.60,1.11%
