# ----------------------------------------
# All Web Site Data
# Overview
# 20181001-20190429
# ----------------------------------------

Device Category,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
mobile,"Oct 1, 2018 - Apr 29, 2019",All Users,"4,854","4,649","8,046",9.62%,9.17,00:03:33,39,"$4,037.24",0.48%
mobile,"Oct 1, 2018 - Apr 29, 2019",New Users,"4,644","4,649","4,649",6.56%,10.68,00:03:50,17,"$1,579.84",0.37%
mobile,"Oct 1, 2018 - Apr 29, 2019",Returning Users,"1,397",0,"3,397",13.81%,7.09,00:03:09,22,"$2,457.40",0.65%
desktop,"Oct 1, 2018 - Apr 29, 2019",All Users,"3,783","3,686","4,985",10.29%,13.37,00:04:38,78,"$14,435.13",1.56%
desktop,"Oct 1, 2018 - Apr 29, 2019",New Users,"3,686","3,686","3,686",11.91%,13.14,00:04:18,24,"$7,976.03",0.65%
desktop,"Oct 1, 2018 - Apr 29, 2019",Returning Users,596,0,"1,299",5.70%,14.05,00:05:36,54,"$6,459.10",4.16%
tablet,"Oct 1, 2018 - Apr 29, 2019",All Users,"1,138","1,094","1,754",7.87%,12.53,00:04:40,19,"$2,091.58",1.08%
tablet,"Oct 1, 2018 - Apr 29, 2019",New Users,"1,094","1,094","1,094",4.57%,13.44,00:04:45,4,$405.22,0.37%
tablet,"Oct 1, 2018 - Apr 29, 2019",Returning Users,290,0,660,13.33%,11.01,00:04:31,15,"$1,686.36",2.27%
,"Oct 1, 2018 - Apr 29, 2019",All Users,"9,775","9,429","14,785",9.64%,10.98,00:04:03,136,"$20,563.95",0.92%
,"Oct 1, 2018 - Apr 29, 2019",New Users,"9,424","9,429","9,429",8.42%,11.96,00:04:08,45,"$9,961.09",0.48%
,"Oct 1, 2018 - Apr 29, 2019",Returning Users,"2,283",0,"5,356",11.78%,9.26,00:03:55,91,"$10,602.86",1.70%

Day Index,Date Range,Segment,Revenue,Ecommerce Conversion Rate
10/1/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$195.84,1.82%
10/1/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/1/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$195.84,7.14%
10/2/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/2/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/2/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/3/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$390.48,1.89%
10/3/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$390.48,2.86%
10/3/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/4/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/4/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/4/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/5/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/5/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/5/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/6/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/6/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/6/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/7/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/7/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/7/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/8/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/8/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/8/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/9/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/9/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/9/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/10/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$112.76,1.00%
10/10/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/10/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$112.76,4.55%
10/11/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/11/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/11/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/12/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/12/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/12/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/13/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/13/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/13/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/14/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/14/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/14/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
10/15/18,"Oct 1, 2018 - Apr 29, 2019",All Users,$0.00,0.00%
10/15/18,"Oct 1, 2018 - Apr 29, 2019",New Users,$0.00,0.00%
10/15/18,"Oct 1, 2018 - Apr 29, 2019",Returning Users,$0.00,0.00%
