# ----------------------------------------
# All Web Site Data
# Ecommerce Overview
# 20181001-20190429
# ----------------------------------------

Month Index,Date Range,Segment,Revenue,Ecommerce Conversion Rate
0000,"Oct 1, 2018 - Apr 29, 2019",All Users,"$1,443.88",0.52%
0000,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
0000,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$1,443.88",0.59%
0001,"Oct 1, 2018 - Apr 29, 2019",All Users,"$4,047.68",1.32%
0001,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
0001,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$4,047.68",1.49%
0002,"Oct 1, 2018 - Apr 29, 2019",All Users,"$3,542.83",0.83%
0002,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
0002,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$3,542.83",0.95%
0003,"Oct 1, 2018 - Apr 29, 2019",All Users,"$1,831.48",0.80%
0003,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
0003,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$1,831.48",0.87%
0004,"Oct 1, 2018 - Apr 29, 2019",All Users,"$4,251.30",0.79%
0004,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
0004,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$4,251.30",0.87%
0005,"Oct 1, 2018 - Apr 29, 2019",All Users,"$2,639.06",1.21%
0005,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
0005,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$2,639.06",1.31%
0006,"Oct 1, 2018 - Apr 29, 2019",All Users,"$2,807.72",1.00%
0006,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
0006,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$2,807.72",1.07%
,"Oct 1, 2018 - Apr 29, 2019",All Users,"$20,563.95",0.92%
,"Oct 1, 2018 - Apr 29, 2019",Bounced Sessions,$0.00,0.00%
,"Oct 1, 2018 - Apr 29, 2019",Non-bounce Sessions,"$20,563.95",1.02%
