# ----------------------------------------
# All Web Site Data
# Ecommerce Overview
# 20181001-20190429
# ----------------------------------------

Month Index,Date Range,Segment,Revenue,Ecommerce Conversion Rate
0000,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,$0.00,0.00%
0000,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,$312.84,0.20%
0000,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$1,443.88",1.15%
0000,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,$312.84,1.29%
0001,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,"$1,207.64",1.08%
0001,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,"$1,752.62",1.11%
0001,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$2,840.04",1.61%
0001,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,$544.98,1.22%
0002,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,$175.04,0.24%
0002,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,$372.60,0.32%
0002,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$3,367.79",1.51%
0002,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,$197.56,0.71%
0003,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,$775.54,0.60%
0003,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,$941.06,0.61%
0003,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$1,055.94",1.04%
0003,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,$165.52,0.66%
0004,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,$596.00,0.57%
0004,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,$693.92,0.53%
0004,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$3,655.30",1.04%
0004,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,$97.92,0.38%
0005,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,$755.66,0.48%
0005,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,"$1,030.74",0.71%
0005,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$1,883.40",2.10%
0005,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,$275.08,1.79%
0006,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,$527.36,0.41%
0006,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,"$1,025.04",0.69%
0006,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$2,280.36",1.68%
0006,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,$497.68,1.98%
,"Oct 1, 2018 - Apr 29, 2019",Mobile Traffic,"$4,037.24",0.48%
,"Oct 1, 2018 - Apr 29, 2019",Mobile and Tablet Traffic,"$6,128.82",0.59%
,"Oct 1, 2018 - Apr 29, 2019",Tablet and Desktop Traffic,"$16,526.71",1.44%
,"Oct 1, 2018 - Apr 29, 2019",Tablet Traffic,"$2,091.58",1.08%
